"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","258","Age-standardised","10.9","9.6","12.3",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","153","Non-standardised","6.6","5.6","7.8",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","153","Age-standardised","7.1","6","8.3",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","250","Non-standardised","10.4","9.2","11.8",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","250","Age-standardised","10.4","9.2","11.8",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","180","Non-standardised","7.7","6.6","8.9",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","180","Age-standardised","8.3","7.1","9.6",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","264","Non-standardised","10.9","9.6","12.3",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","264","Age-standardised","10.9","9.6","12.3",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","160","Non-standardised","6.8","5.8","7.9",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","160","Age-standardised","7.2","6.1","8.4",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","280","Non-standardised","11.5","10.2","12.9",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","280","Age-standardised","11.4","10.1","12.8",NA
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","166","Non-standardised","7","6","8.1",NA
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","166","Age-standardised","7.4","6.3","8.6",NA
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","301","Non-standardised","12.2","10.9","13.7",NA
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","301","Age-standardised","12.1","10.8","13.6",NA
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","170","Non-standardised","7.1","6.1","8.3",NA
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","170","Age-standardised","7.4","6.3","8.6",NA
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","251","Non-standardised","10.2","9","11.5",NA
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","251","Age-standardised","9.9","8.7","11.2",NA
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","146","Non-standardised","6.1","5.2","7.2",NA
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","146","Age-standardised","6.3","5.3","7.5",NA
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","225","Non-standardised","9.1","7.9","10.3",NA
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","225","Age-standardised","8.9","7.8","10.1",NA
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","118","Non-standardised","4.9","4.1","5.9",NA
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","118","Age-standardised","5.1","4.2","6.1",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","267","Non-standardised","10.7","9.4","12",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","267","Age-standardised","10.4","9.2","11.7",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","142","Non-standardised","5.8","4.9","6.9",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","142","Age-standardised","6","5.1","7.1",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","403","Non-standardised","17.3","15.6","19",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","403","Age-standardised","17.4","15.7","19.2",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","417","Non-standardised","18.4","16.7","20.2",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","417","Age-standardised","19.8","17.9","21.8",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","421","Non-standardised","17.9","16.2","19.7",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","421","Age-standardised","18","16.3","19.8",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","390","Non-standardised","17","15.4","18.8",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","390","Age-standardised","18.3","16.5","20.3",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","500","Non-standardised","21.1","19.3","23",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","500","Age-standardised","21.2","19.3","23.1",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","461","Non-standardised","20","18.2","21.9",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","461","Age-standardised","21.4","19.5","23.5",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","468","Non-standardised","19.5","17.8","21.4",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","468","Age-standardised","19.5","17.8","21.3",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","477","Non-standardised","20.4","18.6","22.4",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","477","Age-standardised","21.8","19.8","23.8",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","494","Non-standardised","20.4","18.6","22.3",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","494","Age-standardised","20.3","18.5","22.2",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","446","Non-standardised","18.9","17.2","20.8",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","446","Age-standardised","19.9","18.1","21.8",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","All Brain","507","Non-standardised","20.8","19","22.7",NA
